Created as New Dataset, Dark, 
s, A, 
0.00, 0.0850, 
1.00, 0.0793, 
2.00, 0.0739, 
3.00, 0.0700, 
4.00, 0.0669, 
5.00, 0.0653, 
6.00, 0.0635, 
7.00, 0.0611, 
8.00, 0.0606, 
9.00, 0.0595, 
10.00, 0.0583, 
11.00, 0.0557, 
12.00, 0.0549, 
13.00, 0.0530, 
14.00, 0.0523, 
15.00, 0.0518, 
16.00, 0.0492, 
17.00, 0.0482, 
18.00, 0.0472, 
19.00, 0.0457, 
20.00, 0.0434, 
21.00, 0.0423, 
22.00, 0.0411, 
23.00, 0.0405, 
24.00, 0.0379, 
25.00, 0.0367, 
26.00, 0.0359, 
27.00, 0.0347, 
28.00, 0.0325, 
29.00, 0.0319, 
30.00, 0.0304, 
31.00, 0.0294, 
32.00, 0.0284, 
33.00, 0.0260, 
34.00, 0.0249, 
35.00, 0.0249, 
36.00, 0.0223, 
37.00, 0.0220, 
38.00, 0.0208, 
39.00, 0.0191, 
40.00, 0.0174, 
41.00, 0.0163, 
42.00, 0.0157, 
43.00, 0.0135, 
44.00, 0.0131, 
45.00, 0.0123, 
46.00, 0.0104, 
47.00, 0.0082, 
48.00, 0.0076, 
49.00, 0.0078, 
50.00, 0.0061, 
51.00, 0.0051, 
52.00, 0.0030, 
53.00, 0.0019, 
54.00, 0.0006, 
55.00, -0.0003, 
56.00, -0.0012, 
57.00, -0.0029, 
58.00, -0.0038, 
59.00, -0.0042, 
60.00, -0.0069, 
61.00, -0.0071, 
62.00, -0.0084, 
63.00, -0.0086, 
64.00, -0.0109, 
65.00, -0.0106, 
66.00, -0.0124, 
67.00, -0.0131, 
68.00, -0.0148, 
69.00, -0.0149, 
70.00, -0.0155, 
71.00, -0.0166, 
72.00, -0.0180, 
73.00, -0.0176, 
74.00, -0.0182, 
75.00, -0.0200, 
76.00, -0.0205, 
77.00, -0.0199, 
78.00, -0.0209, 
79.00, -0.0222, 
80.00, -0.0228, 
81.00, -0.0227, 
82.00, -0.0242, 
83.00, -0.0256, 
84.00, -0.0237, 
85.00, -0.0244, 
86.00, -0.0257, 
87.00, -0.0256, 
88.00, -0.0254, 
89.00, -0.0258, 
90.00, -0.0260, 
91.00, -0.0266, 
92.00, -0.0268, 
93.00, -0.0275, 
94.00, -0.0274, 
95.00, -0.0277, 
96.00, -0.0262, 
97.00, -0.0278, 
98.00, -0.0281, 
99.00, -0.0269, 
100.00, -0.0272, 
101.00, -0.0276, 
102.00, -0.0280, 
103.00, -0.0270, 
104.00, -0.0282, 
105.00, -0.0284, 
106.00, -0.0267, 
107.00, -0.0280, 
108.00, -0.0270, 
109.00, -0.0282, 
110.00, -0.0277, 
111.00, -0.0274, 
112.00, -0.0284, 
113.00, -0.0281, 
114.00, -0.0279, 
115.00, -0.0282, 
116.00, -0.0277, 
117.00, -0.0281, 
118.00, -0.0281, 
119.00, -0.0281, 
120.00, -0.0277, 
121.00, -0.0288, 
122.00, -0.0278, 
123.00, -0.0283, 
124.00, -0.0285, 
125.00, -0.0280, 
126.00, -0.0278, 
127.00, -0.0273, 
128.00, -0.0284, 
129.00, -0.0281, 
130.00, -0.0285, 
131.00, -0.0284, 
132.00, -0.0281, 
133.00, -0.0290, 
134.00, -0.0269, 
135.00, -0.0290, 
136.00, -0.0285, 
137.00, -0.0283, 
138.00, -0.0279, 
139.00, -0.0279, 
140.00, -0.0281, 
141.00, -0.0287, 
142.00, -0.0281, 
143.00, -0.0285, 
144.00, -0.0293, 
145.00, -0.0288, 
146.00, -0.0288, 
147.00, -0.0281, 
148.00, -0.0279, 
149.00, -0.0287, 
150.00, -0.0283, 
151.00, -0.0279, 
152.00, -0.0275, 
153.00, -0.0279, 
154.00, -0.0294, 
155.00, -0.0286, 
156.00, -0.0289, 
157.00, -0.0281, 
158.00, -0.0279, 
159.00, -0.0281, 
160.00, -0.0294, 
161.00, -0.0287, 
162.00, -0.0288, 
163.00, -0.0279, 
164.00, -0.0280, 
165.00, -0.0280, 
166.00, -0.0282, 
167.00, -0.0282, 
168.00, -0.0286, 
169.00, -0.0289, 
170.00, -0.0285, 
171.00, -0.0290, 
172.00, -0.0277, 
173.00, -0.0285, 
174.00, -0.0286, 
175.00, -0.0277, 
176.00, -0.0281, 
177.00, -0.0286, 
178.00, -0.0286, 
179.00, -0.0287, 
180.00, -0.0282, 
181.00, -0.0284, 
182.00, -0.0281, 
183.00, -0.0274, 
184.00, -0.0290, 
185.00, -0.0287, 
186.00, -0.0284, 
187.00, -0.0283, 
188.00, -0.0281, 
189.00, -0.0286, 
190.00, -0.0279, 
191.00, -0.0285, 
192.00, -0.0284 
