Created as New Dataset, Dark, 
s, A, 
0.00, 0.0698, 
1.00, 0.0686, 
2.00, 0.0704, 
3.00, 0.0698, 
4.00, 0.0699, 
5.00, 0.0703, 
6.00, 0.0704, 
7.00, 0.0697, 
8.00, 0.0697, 
9.00, 0.0691, 
10.00, 0.0690, 
11.00, 0.0694, 
12.00, 0.0686, 
13.00, 0.0688, 
14.00, 0.0693, 
15.00, 0.0694, 
16.00, 0.0697, 
17.00, 0.0688, 
18.00, 0.0692, 
19.00, 0.0697, 
20.00, 0.0691, 
21.00, 0.0691, 
22.00, 0.0691, 
23.00, 0.0683, 
24.00, 0.0691, 
25.00, 0.0691, 
26.00, 0.0690, 
27.00, 0.0687, 
28.00, 0.0688, 
29.00, 0.0694, 
30.00, 0.0687, 
31.00, 0.0688, 
32.00, 0.0692, 
33.00, 0.0692, 
34.00, 0.0689, 
35.00, 0.0681, 
36.00, 0.0689, 
37.00, 0.0695, 
38.00, 0.0686, 
39.00, 0.0683, 
40.00, 0.0684, 
41.00, 0.0692, 
42.00, 0.0691, 
43.00, 0.0689, 
44.00, 0.0681, 
45.00, 0.0695, 
46.00, 0.0693, 
47.00, 0.0684, 
48.00, 0.0688, 
49.00, 0.0681, 
50.00, 0.0686, 
51.00, 0.0695, 
52.00, 0.0676, 
53.00, 0.0677, 
54.00, 0.0675, 
55.00, 0.0680, 
56.00, 0.0690, 
57.00, 0.0683, 
58.00, 0.0678, 
59.00, 0.0689, 
60.00, 0.0682, 
61.00, 0.0681, 
62.00, 0.0687, 
63.00, 0.0684, 
64.00, 0.0686, 
65.00, 0.0679, 
66.00, 0.0682, 
67.00, 0.0683, 
68.00, 0.0678, 
69.00, 0.0687, 
70.00, 0.0689, 
71.00, 0.0684, 
72.00, 0.0675, 
73.00, 0.0682, 
74.00, 0.0674, 
75.00, 0.0674, 
76.00, 0.0686, 
77.00, 0.0681, 
78.00, 0.0689, 
79.00, 0.0684, 
80.00, 0.0686, 
81.00, 0.0671, 
82.00, 0.0689, 
83.00, 0.0682, 
84.00, 0.0679, 
85.00, 0.0684, 
86.00, 0.0686, 
87.00, 0.0675, 
88.00, 0.0681, 
89.00, 0.0674, 
90.00, 0.0687, 
91.00, 0.0679, 
92.00, 0.0684, 
93.00, 0.0679, 
94.00, 0.0680, 
95.00, 0.0684, 
96.00, 0.0672, 
97.00, 0.0672, 
98.00, 0.0686, 
99.00, 0.0680, 
100.00, 0.0687, 
101.00, 0.0675, 
102.00, 0.0673, 
103.00, 0.0677, 
104.00, 0.0681, 
105.00, 0.0677, 
106.00, 0.0678, 
107.00, 0.0685, 
108.00, 0.0677, 
109.00, 0.0667, 
110.00, 0.0682, 
111.00, 0.0674, 
112.00, 0.0685, 
113.00, 0.0680, 
114.00, 0.0683, 
115.00, 0.0677, 
116.00, 0.0677, 
117.00, 0.0685, 
118.00, 0.0675, 
119.00, 0.0672, 
120.00, 0.0682, 
121.00, 0.0671, 
122.00, 0.0674, 
123.00, 0.0675, 
124.00, 0.0675, 
125.00, 0.0673, 
126.00, 0.0676, 
127.00, 0.0679, 
128.00, 0.0674, 
129.00, 0.0680, 
130.00, 0.0676, 
131.00, 0.0674, 
132.00, 0.0676, 
133.00, 0.0677 
