Created as New Dataset, , 
s, A, 
0.00, 0.0771, 
1.00, 0.0732, 
2.00, 0.0702, 
3.00, 0.0677, 
4.00, 0.0667, 
5.00, 0.0657, 
6.00, 0.0630, 
7.00, 0.0612, 
8.00, 0.0602, 
9.00, 0.0590, 
10.00, 0.0575, 
11.00, 0.0569, 
12.00, 0.0549, 
13.00, 0.0540, 
14.00, 0.0531, 
15.00, 0.0519, 
16.00, 0.0491, 
17.00, 0.0495, 
18.00, 0.0484, 
19.00, 0.0471, 
20.00, 0.0460, 
21.00, 0.0446, 
22.00, 0.0433, 
23.00, 0.0429, 
24.00, 0.0415, 
25.00, 0.0407, 
26.00, 0.0388, 
27.00, 0.0381, 
28.00, 0.0375, 
29.00, 0.0367, 
30.00, 0.0357, 
31.00, 0.0339, 
32.00, 0.0339, 
33.00, 0.0326, 
34.00, 0.0313, 
35.00, 0.0308, 
36.00, 0.0291, 
37.00, 0.0281, 
38.00, 0.0279, 
39.00, 0.0254, 
40.00, 0.0253, 
41.00, 0.0245, 
42.00, 0.0232, 
43.00, 0.0223, 
44.00, 0.0211, 
45.00, 0.0209, 
46.00, 0.0203, 
47.00, 0.0189, 
48.00, 0.0195, 
49.00, 0.0165, 
50.00, 0.0164, 
51.00, 0.0155, 
52.00, 0.0149, 
53.00, 0.0138, 
54.00, 0.0124, 
55.00, 0.0120, 
56.00, 0.0117, 
57.00, 0.0088, 
58.00, 0.0096, 
59.00, 0.0080, 
60.00, 0.0074, 
61.00, 0.0058, 
62.00, 0.0057, 
63.00, 0.0045, 
64.00, 0.0045, 
65.00, 0.0037, 
66.00, 0.0036, 
67.00, 0.0019, 
68.00, 0.0015, 
69.00, 0.0008, 
70.00, 0.0006, 
71.00, -0.0006, 
72.00, -0.0018, 
73.00, -0.0021, 
74.00, -0.0033, 
75.00, -0.0032, 
76.00, -0.0044, 
77.00, -0.0054, 
78.00, -0.0058, 
79.00, -0.0058, 
80.00, -0.0066, 
81.00, -0.0076, 
82.00, -0.0080, 
83.00, -0.0087, 
84.00, -0.0096, 
85.00, -0.0097, 
86.00, -0.0099, 
87.00, -0.0117, 
88.00, -0.0120, 
89.00, -0.0130, 
90.00, -0.0122, 
91.00, -0.0138, 
92.00, -0.0144, 
93.00, -0.0149, 
94.00, -0.0149, 
95.00, -0.0151, 
96.00, -0.0147, 
97.00, -0.0160, 
98.00, -0.0155, 
99.00, -0.0171, 
100.00, -0.0171, 
101.00, -0.0169, 
102.00, -0.0178, 
103.00, -0.0182, 
104.00, -0.0183, 
105.00, -0.0177, 
106.00, -0.0185, 
107.00, -0.0197, 
108.00, -0.0200, 
109.00, -0.0198, 
110.00, -0.0203, 
111.00, -0.0203, 
112.00, -0.0206, 
113.00, -0.0208, 
114.00, -0.0217, 
115.00, -0.0216, 
116.00, -0.0214, 
117.00, -0.0221, 
118.00, -0.0216, 
119.00, -0.0221, 
120.00, -0.0222, 
121.00, -0.0232, 
122.00, -0.0243 
