Created as New Dataset, , 
s, A, 
0.00, 0.0685, 
1.00, 0.0676, 
2.00, 0.0650, 
3.00, 0.0639, 
4.00, 0.0622, 
5.00, 0.0608, 
6.00, 0.0594, 
7.00, 0.0587, 
8.00, 0.0575, 
9.00, 0.0566, 
10.00, 0.0547, 
11.00, 0.0540, 
12.00, 0.0521, 
13.00, 0.0516, 
14.00, 0.0511, 
15.00, 0.0489, 
16.00, 0.0486, 
17.00, 0.0464, 
18.00, 0.0458, 
19.00, 0.0448, 
20.00, 0.0437, 
21.00, 0.0431, 
22.00, 0.0418, 
23.00, 0.0410, 
24.00, 0.0400, 
25.00, 0.0397, 
26.00, 0.0380, 
27.00, 0.0370, 
28.00, 0.0359, 
29.00, 0.0347, 
30.00, 0.0341, 
31.00, 0.0317, 
32.00, 0.0318, 
33.00, 0.0299, 
34.00, 0.0299, 
35.00, 0.0286, 
36.00, 0.0286, 
37.00, 0.0272, 
38.00, 0.0259, 
39.00, 0.0254, 
40.00, 0.0242, 
41.00, 0.0231, 
42.00, 0.0225, 
43.00, 0.0208, 
44.00, 0.0196, 
45.00, 0.0194, 
46.00, 0.0184, 
47.00, 0.0172, 
48.00, 0.0160, 
49.00, 0.0160, 
50.00, 0.0146, 
51.00, 0.0133, 
52.00, 0.0134, 
53.00, 0.0126, 
54.00, 0.0116, 
55.00, 0.0108, 
56.00, 0.0100, 
57.00, 0.0090, 
58.00, 0.0077, 
59.00, 0.0075, 
60.00, 0.0064, 
61.00, 0.0054, 
62.00, 0.0047, 
63.00, 0.0041, 
64.00, 0.0030, 
65.00, 0.0024, 
66.00, 0.0022, 
67.00, 0.0013, 
68.00, 0.0008, 
69.00, -0.0002, 
70.00, -0.0013, 
71.00, -0.0018, 
72.00, -0.0027, 
73.00, -0.0040, 
74.00, -0.0041, 
75.00, -0.0049, 
76.00, -0.0054, 
77.00, -0.0064, 
78.00, -0.0056, 
79.00, -0.0064, 
80.00, -0.0073, 
81.00, -0.0093, 
82.00, -0.0091, 
83.00, -0.0087, 
84.00, -0.0094, 
85.00, -0.0100, 
86.00, -0.0104, 
87.00, -0.0122, 
88.00, -0.0117, 
89.00, -0.0128, 
90.00, -0.0132, 
91.00, -0.0134, 
92.00, -0.0134, 
93.00, -0.0157, 
94.00, -0.0147, 
95.00, -0.0160, 
96.00, -0.0159, 
97.00, -0.0164, 
98.00, -0.0169, 
99.00, -0.0177, 
100.00, -0.0179, 
101.00, -0.0176, 
102.00, -0.0179, 
103.00, -0.0183, 
104.00, -0.0187, 
105.00, -0.0192, 
106.00, -0.0197, 
107.00, -0.0200, 
108.00, -0.0200, 
109.00, -0.0201, 
110.00, -0.0207, 
111.00, -0.0204, 
112.00, -0.0208, 
113.00, -0.0208, 
114.00, -0.0206, 
115.00, -0.0211, 
116.00, -0.0209, 
117.00, -0.0219, 
118.00, -0.0218, 
119.00, -0.0217, 
120.00, -0.0220, 
121.00, -0.0223, 
122.00, -0.0220, 
123.00, -0.0223, 
124.00, -0.0223, 
125.00, -0.0225, 
126.00, -0.0230, 
127.00, -0.0226, 
128.00, -0.0221 
