Created as New Dataset, , 
s, A, 
0.00, 0.0685, 
1.00, 0.0673, 
2.00, 0.0659, 
3.00, 0.0643, 
4.00, 0.0638, 
5.00, 0.0632, 
6.00, 0.0611, 
7.00, 0.0597, 
8.00, 0.0585, 
9.00, 0.0580, 
10.00, 0.0557, 
11.00, 0.0551, 
12.00, 0.0539, 
13.00, 0.0535, 
14.00, 0.0511, 
15.00, 0.0500, 
16.00, 0.0488, 
17.00, 0.0485, 
18.00, 0.0473, 
19.00, 0.0449, 
20.00, 0.0444, 
21.00, 0.0435, 
22.00, 0.0426, 
23.00, 0.0415, 
24.00, 0.0406, 
25.00, 0.0392, 
26.00, 0.0385, 
27.00, 0.0373, 
28.00, 0.0359, 
29.00, 0.0348, 
30.00, 0.0341, 
31.00, 0.0322, 
32.00, 0.0312, 
33.00, 0.0313, 
34.00, 0.0304, 
35.00, 0.0289, 
36.00, 0.0281, 
37.00, 0.0271, 
38.00, 0.0261, 
39.00, 0.0239, 
40.00, 0.0234, 
41.00, 0.0233, 
42.00, 0.0219, 
43.00, 0.0212, 
44.00, 0.0195, 
45.00, 0.0194, 
46.00, 0.0173, 
47.00, 0.0169, 
48.00, 0.0155, 
49.00, 0.0151, 
50.00, 0.0146, 
51.00, 0.0129, 
52.00, 0.0116, 
53.00, 0.0106, 
54.00, 0.0104, 
55.00, 0.0089, 
56.00, 0.0088, 
57.00, 0.0075, 
58.00, 0.0071, 
59.00, 0.0064, 
60.00, 0.0052, 
61.00, 0.0043, 
62.00, 0.0032, 
63.00, 0.0024, 
64.00, 0.0019, 
65.00, 0.0005, 
66.00, 0.0003, 
67.00, 0.0012, 
68.00, -0.0016, 
69.00, -0.0024, 
70.00, -0.0028, 
71.00, -0.0036, 
72.00, -0.0049, 
73.00, -0.0043, 
74.00, -0.0066, 
75.00, -0.0066, 
76.00, -0.0067, 
77.00, -0.0077, 
78.00, -0.0086, 
79.00, -0.0091, 
80.00, -0.0089, 
81.00, -0.0106, 
82.00, -0.0110, 
83.00, -0.0122, 
84.00, -0.0113, 
85.00, -0.0130, 
86.00, -0.0136, 
87.00, -0.0143, 
88.00, -0.0140, 
89.00, -0.0147, 
90.00, -0.0150, 
91.00, -0.0157, 
92.00, -0.0163, 
93.00, -0.0167, 
94.00, -0.0174, 
95.00, -0.0166, 
96.00, -0.0169, 
97.00, -0.0188, 
98.00, -0.0184, 
99.00, -0.0190, 
100.00, -0.0191, 
101.00, -0.0194, 
102.00, -0.0212, 
103.00, -0.0201, 
104.00, -0.0214, 
105.00, -0.0211, 
106.00, -0.0212, 
107.00, -0.0214, 
108.00, -0.0226, 
109.00, -0.0220, 
110.00, -0.0223, 
111.00, -0.0228, 
112.00, -0.0217, 
113.00, -0.0222, 
114.00, -0.0221, 
115.00, -0.0225, 
116.00, -0.0232, 
117.00, -0.0229, 
118.00, -0.0230, 
119.00, -0.0245, 
120.00, -0.0229, 
121.00, -0.0240, 
122.00, -0.0235, 
123.00, -0.0240, 
124.00, -0.0240 
