Created as New Dataset, , 
s, A, 
0.00, 0.0687, 
1.00, 0.0669, 
2.00, 0.0665, 
3.00, 0.0661, 
4.00, 0.0643, 
5.00, 0.0620, 
6.00, 0.0606, 
7.00, 0.0602, 
8.00, 0.0596, 
9.00, 0.0590, 
10.00, 0.0574, 
11.00, 0.0562, 
12.00, 0.0551, 
13.00, 0.0536, 
14.00, 0.0528, 
15.00, 0.0513, 
16.00, 0.0509, 
17.00, 0.0494, 
18.00, 0.0487, 
19.00, 0.0472, 
20.00, 0.0462, 
21.00, 0.0447, 
22.00, 0.0436, 
23.00, 0.0439, 
24.00, 0.0426, 
25.00, 0.0415, 
26.00, 0.0401, 
27.00, 0.0406, 
28.00, 0.0390, 
29.00, 0.0375, 
30.00, 0.0369, 
31.00, 0.0357, 
32.00, 0.0358, 
33.00, 0.0351, 
34.00, 0.0330, 
35.00, 0.0317, 
36.00, 0.0329, 
37.00, 0.0308, 
38.00, 0.0310, 
39.00, 0.0282, 
40.00, 0.0297, 
41.00, 0.0278, 
42.00, 0.0272, 
43.00, 0.0270, 
44.00, 0.0268, 
45.00, 0.0253, 
46.00, 0.0237, 
47.00, 0.0244, 
48.00, 0.0232, 
49.00, 0.0224, 
50.00, 0.0215, 
51.00, 0.0210, 
52.00, 0.0204, 
53.00, 0.0194, 
54.00, 0.0187, 
55.00, 0.0187, 
56.00, 0.0177, 
57.00, 0.0170, 
58.00, 0.0174, 
59.00, 0.0158, 
60.00, 0.0158, 
61.00, 0.0152, 
62.00, 0.0141, 
63.00, 0.0133, 
64.00, 0.0138, 
65.00, 0.0118, 
66.00, 0.0121, 
67.00, 0.0118, 
68.00, 0.0101, 
69.00, 0.0101, 
70.00, 0.0097, 
71.00, 0.0095, 
72.00, 0.0092, 
73.00, 0.0078, 
74.00, 0.0072, 
75.00, 0.0070, 
76.00, 0.0064, 
77.00, 0.0065, 
78.00, 0.0056, 
79.00, 0.0049, 
80.00, 0.0053, 
81.00, 0.0044, 
82.00, 0.0037, 
83.00, 0.0033, 
84.00, 0.0041, 
85.00, 0.0018, 
86.00, 0.0025, 
87.00, 0.0018, 
88.00, 0.0013, 
89.00, 0.0011, 
90.00, -0.0004, 
91.00, -0.0006, 
92.00, -0.0004, 
93.00, -0.0007, 
94.00, -0.0011, 
95.00, -0.0009, 
96.00, -0.0023, 
97.00, -0.0023, 
98.00, -0.0029, 
99.00, -0.0042, 
100.00, -0.0029, 
101.00, -0.0036, 
102.00, -0.0041, 
103.00, -0.0052, 
104.00, -0.0045, 
105.00, -0.0057, 
106.00, -0.0063, 
107.00, -0.0061, 
108.00, -0.0058, 
109.00, -0.0066, 
110.00, -0.0072, 
111.00, -0.0074, 
112.00, -0.0081, 
113.00, -0.0081, 
114.00, -0.0086, 
115.00, -0.0087, 
116.00, -0.0083, 
117.00, -0.0093, 
118.00, -0.0103, 
119.00, -0.0094, 
120.00, -0.0097, 
121.00, -0.0100, 
122.00, -0.0111, 
123.00, -0.0109, 
124.00, -0.0108, 
125.00, -0.0112, 
126.00, -0.0113, 
127.00, -0.0119, 
128.00, -0.0108, 
129.00, -0.0124, 
130.00, -0.0126, 
131.00, -0.0124, 
132.00, -0.0128, 
133.00, -0.0129 
