Created as New Dataset, , 
s, A, 
0.00, 0.0810, 
1.00, 0.0759, 
2.00, 0.0740, 
3.00, 0.0702, 
4.00, 0.0679, 
5.00, 0.0663, 
6.00, 0.0649, 
7.00, 0.0640, 
8.00, 0.0627, 
9.00, 0.0619, 
10.00, 0.0618, 
11.00, 0.0609, 
12.00, 0.0597, 
13.00, 0.0591, 
14.00, 0.0584, 
15.00, 0.0581, 
16.00, 0.0575, 
17.00, 0.0561, 
18.00, 0.0556, 
19.00, 0.0554, 
20.00, 0.0538, 
21.00, 0.0531, 
22.00, 0.0535, 
23.00, 0.0517, 
24.00, 0.0522, 
25.00, 0.0516, 
26.00, 0.0509, 
27.00, 0.0507, 
28.00, 0.0504, 
29.00, 0.0500, 
30.00, 0.0496, 
31.00, 0.0487, 
32.00, 0.0474, 
33.00, 0.0483, 
34.00, 0.0482, 
35.00, 0.0466, 
36.00, 0.0466, 
37.00, 0.0468, 
38.00, 0.0461, 
39.00, 0.0460, 
40.00, 0.0460, 
41.00, 0.0449, 
42.00, 0.0450, 
43.00, 0.0448, 
44.00, 0.0440, 
45.00, 0.0441, 
46.00, 0.0438, 
47.00, 0.0436, 
48.00, 0.0439, 
49.00, 0.0429, 
50.00, 0.0439, 
51.00, 0.0424, 
52.00, 0.0426, 
53.00, 0.0428, 
54.00, 0.0421, 
55.00, 0.0421, 
56.00, 0.0422, 
57.00, 0.0419, 
58.00, 0.0412, 
59.00, 0.0414, 
60.00, 0.0415, 
61.00, 0.0406, 
62.00, 0.0412, 
63.00, 0.0406, 
64.00, 0.0409, 
65.00, 0.0407, 
66.00, 0.0407, 
67.00, 0.0401, 
68.00, 0.0392, 
69.00, 0.0402, 
70.00, 0.0406, 
71.00, 0.0399, 
72.00, 0.0396, 
73.00, 0.0396, 
74.00, 0.0388, 
75.00, 0.0386, 
76.00, 0.0392, 
77.00, 0.0386, 
78.00, 0.0383, 
79.00, 0.0393, 
80.00, 0.0376, 
81.00, 0.0383, 
82.00, 0.0386, 
83.00, 0.0379, 
84.00, 0.0389, 
85.00, 0.0383, 
86.00, 0.0382, 
87.00, 0.0383, 
88.00, 0.0379, 
89.00, 0.0373, 
90.00, 0.0378, 
91.00, 0.0380, 
92.00, 0.0371, 
93.00, 0.0368, 
94.00, 0.0375, 
95.00, 0.0364, 
96.00, 0.0374, 
97.00, 0.0372, 
98.00, 0.0370, 
99.00, 0.0364, 
100.00, 0.0374, 
101.00, 0.0367, 
102.00, 0.0375, 
103.00, 0.0368, 
104.00, 0.0369, 
105.00, 0.0372, 
106.00, 0.0363, 
107.00, 0.0362, 
108.00, 0.0360, 
109.00, 0.0368, 
110.00, 0.0362, 
111.00, 0.0361, 
112.00, 0.0355, 
113.00, 0.0362, 
114.00, 0.0367, 
115.00, 0.0365, 
116.00, 0.0362, 
117.00, 0.0363, 
118.00, 0.0354, 
119.00, 0.0367, 
120.00, 0.0357, 
121.00, 0.0364, 
122.00, 0.0357 
