Created as New Dataset, , 
s, A, 
0.00, 0.0689, 
1.00, 0.0689, 
2.00, 0.0694, 
3.00, 0.0692, 
4.00, 0.0684, 
5.00, 0.0676, 
6.00, 0.0686, 
7.00, 0.0682, 
8.00, 0.0682, 
9.00, 0.0678, 
10.00, 0.0665, 
11.00, 0.0676, 
12.00, 0.0674, 
13.00, 0.0678, 
14.00, 0.0678, 
15.00, 0.0683, 
16.00, 0.0676, 
17.00, 0.0673, 
18.00, 0.0674, 
19.00, 0.0662, 
20.00, 0.0670, 
21.00, 0.0672, 
22.00, 0.0678, 
23.00, 0.0685, 
24.00, 0.0680, 
25.00, 0.0673, 
26.00, 0.0671, 
27.00, 0.0680, 
28.00, 0.0674, 
29.00, 0.0679, 
30.00, 0.0675, 
31.00, 0.0680, 
32.00, 0.0674, 
33.00, 0.0675, 
34.00, 0.0670, 
35.00, 0.0668, 
36.00, 0.0673, 
37.00, 0.0678, 
38.00, 0.0676, 
39.00, 0.0678, 
40.00, 0.0676, 
41.00, 0.0668, 
42.00, 0.0678, 
43.00, 0.0673, 
44.00, 0.0677, 
45.00, 0.0670, 
46.00, 0.0677, 
47.00, 0.0672, 
48.00, 0.0670, 
49.00, 0.0684, 
50.00, 0.0679, 
51.00, 0.0682, 
52.00, 0.0676, 
53.00, 0.0672, 
54.00, 0.0669, 
55.00, 0.0672, 
56.00, 0.0672, 
57.00, 0.0669, 
58.00, 0.0671, 
59.00, 0.0677, 
60.00, 0.0670, 
61.00, 0.0670, 
62.00, 0.0671, 
63.00, 0.0673, 
64.00, 0.0672, 
65.00, 0.0673, 
66.00, 0.0676, 
67.00, 0.0671, 
68.00, 0.0674, 
69.00, 0.0678, 
70.00, 0.0677, 
71.00, 0.0670, 
72.00, 0.0671, 
73.00, 0.0672, 
74.00, 0.0665, 
75.00, 0.0666, 
76.00, 0.0663, 
77.00, 0.0670, 
78.00, 0.0673, 
79.00, 0.0668, 
80.00, 0.0672, 
81.00, 0.0670, 
82.00, 0.0678, 
83.00, 0.0667, 
84.00, 0.0672, 
85.00, 0.0672, 
86.00, 0.0675, 
87.00, 0.0666, 
88.00, 0.0666, 
89.00, 0.0681, 
90.00, 0.0680, 
91.00, 0.0666, 
92.00, 0.0668, 
93.00, 0.0671, 
94.00, 0.0669, 
95.00, 0.0672, 
96.00, 0.0678, 
97.00, 0.0670, 
98.00, 0.0671, 
99.00, 0.0669, 
100.00, 0.0671, 
101.00, 0.0673, 
102.00, 0.0670, 
103.00, 0.0664, 
104.00, 0.0673, 
105.00, 0.0662, 
106.00, 0.0679, 
107.00, 0.0673, 
108.00, 0.0671, 
109.00, 0.0671, 
110.00, 0.0676, 
111.00, 0.0674, 
112.00, 0.0663, 
113.00, 0.0669, 
114.00, 0.0663, 
115.00, 0.0672, 
116.00, 0.0665, 
117.00, 0.0678, 
118.00, 0.0664, 
119.00, 0.0666, 
120.00, 0.0666, 
121.00, 0.0666, 
122.00, 0.0678, 
123.00, 0.0668, 
124.00, 0.0675, 
125.00, 0.0666, 
126.00, 0.0665, 
127.00, 0.0672, 
128.00, 0.0666, 
129.00, 0.0672, 
130.00, 0.0671 
