Created as New Dataset, , 
s, A, 
0.00, 0.0709, 
1.00, 0.0696, 
2.00, 0.0695, 
3.00, 0.0687, 
4.00, 0.0680, 
5.00, 0.0679, 
6.00, 0.0682, 
7.00, 0.0664, 
8.00, 0.0665, 
9.00, 0.0650, 
10.00, 0.0657, 
11.00, 0.0662, 
12.00, 0.0654, 
13.00, 0.0645, 
14.00, 0.0648, 
15.00, 0.0642, 
16.00, 0.0647, 
17.00, 0.0634, 
18.00, 0.0643, 
19.00, 0.0631, 
20.00, 0.0637, 
21.00, 0.0639, 
22.00, 0.0627, 
23.00, 0.0630, 
24.00, 0.0639, 
25.00, 0.0628, 
26.00, 0.0628, 
27.00, 0.0631, 
28.00, 0.0636, 
29.00, 0.0630, 
30.00, 0.0636, 
31.00, 0.0632, 
32.00, 0.0631, 
33.00, 0.0626, 
34.00, 0.0628, 
35.00, 0.0620, 
36.00, 0.0624, 
37.00, 0.0626, 
38.00, 0.0625, 
39.00, 0.0629, 
40.00, 0.0623, 
41.00, 0.0620, 
42.00, 0.0635, 
43.00, 0.0614, 
44.00, 0.0620, 
45.00, 0.0620, 
46.00, 0.0626, 
47.00, 0.0633, 
48.00, 0.0627, 
49.00, 0.0625, 
50.00, 0.0619, 
51.00, 0.0634, 
52.00, 0.0628, 
53.00, 0.0624, 
54.00, 0.0621, 
55.00, 0.0627, 
56.00, 0.0630, 
57.00, 0.0622, 
58.00, 0.0622, 
59.00, 0.0629, 
60.00, 0.0631, 
61.00, 0.0629, 
62.00, 0.0624, 
63.00, 0.0622, 
64.00, 0.0627, 
65.00, 0.0617, 
66.00, 0.0626, 
67.00, 0.0626, 
68.00, 0.0622, 
69.00, 0.0619, 
70.00, 0.0626, 
71.00, 0.0624, 
72.00, 0.0621, 
73.00, 0.0630, 
74.00, 0.0627, 
75.00, 0.0624, 
76.00, 0.0618, 
77.00, 0.0624, 
78.00, 0.0632, 
79.00, 0.0623, 
80.00, 0.0617, 
81.00, 0.0619, 
82.00, 0.0617, 
83.00, 0.0613, 
84.00, 0.0619, 
85.00, 0.0617, 
86.00, 0.0623, 
87.00, 0.0617, 
88.00, 0.0617, 
89.00, 0.0616, 
90.00, 0.0615, 
91.00, 0.0619, 
92.00, 0.0618, 
93.00, 0.0613, 
94.00, 0.0619, 
95.00, 0.0614, 
96.00, 0.0618, 
97.00, 0.0617, 
98.00, 0.0625, 
99.00, 0.0612, 
100.00, 0.0619, 
101.00, 0.0629, 
102.00, 0.0625, 
103.00, 0.0612, 
104.00, 0.0621, 
105.00, 0.0622, 
106.00, 0.0619, 
107.00, 0.0613, 
108.00, 0.0627, 
109.00, 0.0630, 
110.00, 0.0610, 
111.00, 0.0616, 
112.00, 0.0620, 
113.00, 0.0620, 
114.00, 0.0624, 
115.00, 0.0619, 
116.00, 0.0618, 
117.00, 0.0616, 
118.00, 0.0612, 
119.00, 0.0616, 
120.00, 0.0617, 
121.00, 0.0618 
