Created as New Dataset, Dark, 
s, A, 
0.00, -0.0004, 
1.00, -0.0002, 
2.00, -0.0009, 
3.00, -0.0003, 
4.00, -0.0002, 
5.00, -0.0008, 
6.00, 0.0002, 
7.00, -0.0003, 
8.00, -0.0004, 
9.00, 0.0000, 
10.00, -0.0001, 
11.00, -0.0012, 
12.00, -0.0005, 
13.00, -0.0007, 
14.00, -0.0005, 
15.00, -0.0003, 
16.00, 0.0007, 
17.00, -0.0011, 
18.00, -0.0002, 
19.00, -0.0001, 
20.00, 0.0006, 
21.00, -0.0003, 
22.00, -0.0001, 
23.00, -0.0006, 
24.00, -0.0007, 
25.00, -0.0012, 
26.00, -0.0004, 
27.00, -0.0004, 
28.00, -0.0002, 
29.00, 0.0003, 
30.00, -0.0008, 
31.00, -0.0008, 
32.00, -0.0013, 
33.00, 0.0004, 
34.00, -0.0009, 
35.00, 0.0009, 
36.00, -0.0008, 
37.00, -0.0003, 
38.00, -0.0013, 
39.00, -0.0006, 
40.00, -0.0011, 
41.00, -0.0006, 
42.00, -0.0006, 
43.00, -0.0000, 
44.00, -0.0011, 
45.00, 0.0003, 
46.00, 0.0001, 
47.00, -0.0004, 
48.00, 0.0005, 
49.00, -0.0003, 
50.00, -0.0007, 
51.00, -0.0001, 
52.00, -0.0004, 
53.00, -0.0008, 
54.00, -0.0006, 
55.00, -0.0008, 
56.00, 0.0006, 
57.00, -0.0005, 
58.00, 0.0001, 
59.00, -0.0006, 
60.00, -0.0004, 
61.00, -0.0010, 
62.00, -0.0005, 
63.00, -0.0004, 
64.00, 0.0003, 
65.00, 0.0004, 
66.00, -0.0008, 
67.00, -0.0003, 
68.00, -0.0006, 
69.00, -0.0008, 
70.00, 0.0001, 
71.00, -0.0006, 
72.00, 0.0004, 
73.00, -0.0008, 
74.00, -0.0013, 
75.00, -0.0010, 
76.00, -0.0003, 
77.00, -0.0012, 
78.00, -0.0004, 
79.00, -0.0007, 
80.00, -0.0006, 
81.00, -0.0009, 
82.00, -0.0006, 
83.00, -0.0004, 
84.00, -0.0010, 
85.00, -0.0010, 
86.00, -0.0008, 
87.00, 0.0007, 
88.00, -0.0004, 
89.00, 0.0008, 
90.00, -0.0010, 
91.00, 0.0001, 
92.00, -0.0004, 
93.00, -0.0007, 
94.00, -0.0002, 
95.00, -0.0007, 
96.00, 0.0000, 
97.00, -0.0003, 
98.00, -0.0005, 
99.00, -0.0011, 
100.00, -0.0005, 
101.00, -0.0005, 
102.00, -0.0012, 
103.00, -0.0012, 
104.00, -0.0004, 
105.00, -0.0006, 
106.00, -0.0008, 
107.00, -0.0007, 
108.00, -0.0001, 
109.00, 0.0004, 
110.00, -0.0008, 
111.00, -0.0004, 
112.00, -0.0003, 
113.00, -0.0007, 
114.00, -0.0002, 
115.00, 0.0005, 
116.00, -0.0001, 
117.00, 0.0001, 
118.00, -0.0006, 
119.00, -0.0007, 
120.00, -0.0009, 
121.00, 0.0004, 
122.00, -0.0002, 
123.00, -0.0003, 
124.00, -0.0011, 
125.00, -0.0002, 
126.00, -0.0001, 
127.00, 0.0003, 
128.00, 0.0007, 
129.00, -0.0008, 
130.00, -0.0005, 
131.00, -0.0009, 
132.00, -0.0000, 
133.00, 0.0006, 
134.00, -0.0012, 
135.00, -0.0012, 
136.00, -0.0005, 
137.00, -0.0002, 
138.00, -0.0006, 
139.00, -0.0000, 
140.00, -0.0013, 
141.00, -0.0009, 
142.00, -0.0003, 
143.00, 0.0000, 
144.00, -0.0009, 
145.00, -0.0004, 
146.00, -0.0004, 
147.00, 0.0001, 
148.00, 0.0004, 
149.00, 0.0000, 
150.00, -0.0014, 
151.00, -0.0005, 
152.00, -0.0007, 
153.00, -0.0004, 
154.00, 0.0007, 
155.00, -0.0003, 
156.00, 0.0004, 
157.00, -0.0000, 
158.00, -0.0007, 
159.00, -0.0005, 
160.00, 0.0003, 
161.00, -0.0002, 
162.00, 0.0002, 
163.00, -0.0003, 
164.00, -0.0001, 
165.00, -0.0013, 
166.00, 0.0000, 
167.00, -0.0006, 
168.00, -0.0005, 
169.00, -0.0000, 
170.00, 0.0004, 
171.00, 0.0001, 
172.00, -0.0007, 
173.00, -0.0006, 
174.00, -0.0006, 
175.00, -0.0001, 
176.00, -0.0000, 
177.00, -0.0004, 
178.00, -0.0003, 
179.00, -0.0016, 
180.00, -0.0003, 
181.00, -0.0002, 
182.00, 0.0005, 
183.00, -0.0004, 
184.00, -0.0008, 
185.00, -0.0009, 
186.00, -0.0001, 
187.00, -0.0010, 
188.00, -0.0005, 
189.00, -0.0012, 
190.00, -0.0008, 
191.00, -0.0003, 
192.00, -0.0003, 
193.00, 0.0011, 
194.00, -0.0003, 
195.00, -0.0006, 
196.00, -0.0008, 
197.00, -0.0009, 
198.00, -0.0007, 
199.00, 0.0008, 
200.00, -0.0004, 
201.00, -0.0005, 
202.00, -0.0003, 
203.00, -0.0003, 
204.00, -0.0008, 
205.00, -0.0011, 
206.00, 0.0004, 
207.00, -0.0003, 
208.00, -0.0001, 
209.00, -0.0014, 
210.00, 0.0003, 
211.00, 0.0004, 
212.00, -0.0007, 
213.00, -0.0003, 
214.00, 0.0003, 
215.00, -0.0007, 
216.00, 0.0003, 
217.00, -0.0005, 
218.00, -0.0008, 
219.00, -0.0004, 
220.00, -0.0006, 
221.00, -0.0002, 
222.00, -0.0004, 
223.00, -0.0011, 
224.00, -0.0003, 
225.00, -0.0008, 
226.00, -0.0002 
