Created as New Dataset, Dark, 
s, A, 
0.00, 0.0023, 
1.00, 0.0017, 
2.00, 0.0013, 
3.00, 0.0006, 
4.00, 0.0006, 
5.00, 0.0016, 
6.00, -0.0004, 
7.00, 0.0007, 
8.00, 0.0004, 
9.00, 0.0003, 
10.00, 0.0011, 
11.00, -0.0001, 
12.00, 0.0000, 
13.00, 0.0006, 
14.00, -0.0006, 
15.00, -0.0004, 
16.00, 0.0009, 
17.00, 0.0004, 
18.00, 0.0003, 
19.00, 0.0006, 
20.00, -0.0006, 
21.00, -0.0007, 
22.00, 0.0001, 
23.00, -0.0005, 
24.00, -0.0007, 
25.00, 0.0000, 
26.00, -0.0005, 
27.00, -0.0005, 
28.00, -0.0001, 
29.00, -0.0002, 
30.00, -0.0010, 
31.00, -0.0000, 
32.00, -0.0005, 
33.00, 0.0001, 
34.00, -0.0007, 
35.00, -0.0006, 
36.00, -0.0006, 
37.00, -0.0006, 
38.00, -0.0016, 
39.00, -0.0013 
