Created as New Dataset, Dark, 
s, A, 
0.00, 0.0716, 
1.00, 0.0724, 
2.00, 0.0704, 
3.00, 0.0704, 
4.00, 0.0694, 
5.00, 0.0686, 
6.00, 0.0669, 
7.00, 0.0669, 
8.00, 0.0644, 
9.00, 0.0641, 
10.00, 0.0625, 
11.00, 0.0619, 
12.00, 0.0610, 
13.00, 0.0600, 
14.00, 0.0596, 
15.00, 0.0590, 
16.00, 0.0581, 
17.00, 0.0566, 
18.00, 0.0556, 
19.00, 0.0544, 
20.00, 0.0538, 
21.00, 0.0528, 
22.00, 0.0512, 
23.00, 0.0500, 
24.00, 0.0487, 
25.00, 0.0487, 
26.00, 0.0484, 
27.00, 0.0469, 
28.00, 0.0456, 
29.00, 0.0451, 
30.00, 0.0443, 
31.00, 0.0429, 
32.00, 0.0414, 
33.00, 0.0408, 
34.00, 0.0396, 
35.00, 0.0387, 
36.00, 0.0382, 
37.00, 0.0366, 
38.00, 0.0365, 
39.00, 0.0361, 
40.00, 0.0345, 
41.00, 0.0325, 
42.00, 0.0324, 
43.00, 0.0315, 
44.00, 0.0298, 
45.00, 0.0294, 
46.00, 0.0284, 
47.00, 0.0266, 
48.00, 0.0261, 
49.00, 0.0254, 
50.00, 0.0238, 
51.00, 0.0228, 
52.00, 0.0226, 
53.00, 0.0209, 
54.00, 0.0206, 
55.00, 0.0193, 
56.00, 0.0181, 
57.00, 0.0178, 
58.00, 0.0158, 
59.00, 0.0152, 
60.00, 0.0141, 
61.00, 0.0132, 
62.00, 0.0127, 
63.00, 0.0115, 
64.00, 0.0109, 
65.00, 0.0097, 
66.00, 0.0085, 
67.00, 0.0077, 
68.00, 0.0069, 
69.00, 0.0059, 
70.00, 0.0050, 
71.00, 0.0034, 
72.00, 0.0034, 
73.00, 0.0020, 
74.00, 0.0013, 
75.00, 0.0005, 
76.00, -0.0008, 
77.00, -0.0019, 
78.00, -0.0022, 
79.00, -0.0034, 
80.00, -0.0037, 
81.00, -0.0050, 
82.00, -0.0064, 
83.00, -0.0081, 
84.00, -0.0085, 
85.00, -0.0088, 
86.00, -0.0096, 
87.00, -0.0103, 
88.00, -0.0113, 
89.00, -0.0117, 
90.00, -0.0121, 
91.00, -0.0130, 
92.00, -0.0142, 
93.00, -0.0158, 
94.00, -0.0164, 
95.00, -0.0169, 
96.00, -0.0173, 
97.00, -0.0181, 
98.00, -0.0184, 
99.00, -0.0200, 
100.00, -0.0200, 
101.00, -0.0212, 
102.00, -0.0223, 
103.00, -0.0212, 
104.00, -0.0232, 
105.00, -0.0234, 
106.00, -0.0250, 
107.00, -0.0244, 
108.00, -0.0249, 
109.00, -0.0264, 
110.00, -0.0265, 
111.00, -0.0266, 
112.00, -0.0273, 
113.00, -0.0283, 
114.00, -0.0281, 
115.00, -0.0289, 
116.00, -0.0293, 
117.00, -0.0293, 
118.00, -0.0291, 
119.00, -0.0307, 
120.00, -0.0305, 
121.00, -0.0303, 
122.00, -0.0310, 
123.00, -0.0316, 
124.00, -0.0320, 
125.00, -0.0306, 
126.00, -0.0323, 
127.00, -0.0320, 
128.00, -0.0325, 
129.00, -0.0327, 
130.00, -0.0324, 
131.00, -0.0328, 
132.00, -0.0328, 
133.00, -0.0325, 
134.00, -0.0331, 
135.00, -0.0331, 
136.00, -0.0331, 
137.00, -0.0334, 
138.00, -0.0331, 
139.00, -0.0335, 
140.00, -0.0332, 
141.00, -0.0329, 
142.00, -0.0339, 
143.00, -0.0338, 
144.00, -0.0335, 
145.00, -0.0334, 
146.00, -0.0335, 
147.00, -0.0339, 
148.00, -0.0334, 
149.00, -0.0334, 
150.00, -0.0341, 
151.00, -0.0332, 
152.00, -0.0343, 
153.00, -0.0339, 
154.00, -0.0339, 
155.00, -0.0343, 
156.00, -0.0336, 
157.00, -0.0349, 
158.00, -0.0338, 
159.00, -0.0335, 
160.00, -0.0344, 
161.00, -0.0343, 
162.00, -0.0345, 
163.00, -0.0338, 
164.00, -0.0334, 
165.00, -0.0341, 
166.00, -0.0337, 
167.00, -0.0338, 
168.00, -0.0345, 
169.00, -0.0340, 
170.00, -0.0338, 
171.00, -0.0335, 
172.00, -0.0339, 
173.00, -0.0341, 
174.00, -0.0342, 
175.00, -0.0343, 
176.00, -0.0331, 
177.00, -0.0340, 
178.00, -0.0338, 
179.00, -0.0342, 
180.00, -0.0346, 
181.00, -0.0338, 
182.00, -0.0342, 
183.00, -0.0349, 
184.00, -0.0346, 
185.00, -0.0343, 
186.00, -0.0353, 
187.00, -0.0344, 
188.00, -0.0335, 
189.00, -0.0339, 
190.00, -0.0342, 
191.00, -0.0342, 
192.00, -0.0341, 
193.00, -0.0341, 
194.00, -0.0347, 
195.00, -0.0351, 
196.00, -0.0345, 
197.00, -0.0342, 
198.00, -0.0345, 
199.00, -0.0340, 
200.00, -0.0343, 
201.00, -0.0342, 
202.00, -0.0325, 
203.00, -0.0344, 
204.00, -0.0346, 
205.00, -0.0350, 
206.00, -0.0334, 
207.00, -0.0335, 
208.00, -0.0343, 
209.00, -0.0337, 
210.00, -0.0349, 
211.00, -0.0342, 
212.00, -0.0348, 
213.00, -0.0349, 
214.00, -0.0345, 
215.00, -0.0346, 
216.00, -0.0344, 
217.00, -0.0346, 
218.00, -0.0341, 
219.00, -0.0342, 
220.00, -0.0346, 
221.00, -0.0344, 
222.00, -0.0348, 
223.00, -0.0342, 
224.00, -0.0344, 
225.00, -0.0347, 
226.00, -0.0345, 
227.00, -0.0339, 
228.00, -0.0349, 
229.00, -0.0347 
