Created as New Dataset, , 
s, A, 
0.00, 0.0901, 
1.00, 0.0867, 
2.00, 0.0812, 
3.00, 0.0779, 
4.00, 0.0748, 
5.00, 0.0729, 
6.00, 0.0716, 
7.00, 0.0686, 
8.00, 0.0671, 
9.00, 0.0669, 
10.00, 0.0655, 
11.00, 0.0649, 
12.00, 0.0643, 
13.00, 0.0631, 
14.00, 0.0624, 
15.00, 0.0612, 
16.00, 0.0616, 
17.00, 0.0602, 
18.00, 0.0584, 
19.00, 0.0582, 
20.00, 0.0577, 
21.00, 0.0574, 
22.00, 0.0561, 
23.00, 0.0555, 
24.00, 0.0540, 
25.00, 0.0529, 
26.00, 0.0514, 
27.00, 0.0521, 
28.00, 0.0509, 
29.00, 0.0496, 
30.00, 0.0489, 
31.00, 0.0482, 
32.00, 0.0476, 
33.00, 0.0467, 
34.00, 0.0461, 
35.00, 0.0457, 
36.00, 0.0441, 
37.00, 0.0420, 
38.00, 0.0428, 
39.00, 0.0424, 
40.00, 0.0414, 
41.00, 0.0416, 
42.00, 0.0396, 
43.00, 0.0388, 
44.00, 0.0385, 
45.00, 0.0370, 
46.00, 0.0369, 
47.00, 0.0360, 
48.00, 0.0358, 
49.00, 0.0342, 
50.00, 0.0333, 
51.00, 0.0327, 
52.00, 0.0333, 
53.00, 0.0305, 
54.00, 0.0308, 
55.00, 0.0303, 
56.00, 0.0293, 
57.00, 0.0275, 
58.00, 0.0280, 
59.00, 0.0273, 
60.00, 0.0270, 
61.00, 0.0256, 
62.00, 0.0245, 
63.00, 0.0242, 
64.00, 0.0231, 
65.00, 0.0230, 
66.00, 0.0214, 
67.00, 0.0211, 
68.00, 0.0203, 
69.00, 0.0193, 
70.00, 0.0196, 
71.00, 0.0185, 
72.00, 0.0184, 
73.00, 0.0170, 
74.00, 0.0169, 
75.00, 0.0159, 
76.00, 0.0153, 
77.00, 0.0149, 
78.00, 0.0136, 
79.00, 0.0127, 
80.00, 0.0133, 
81.00, 0.0115, 
82.00, 0.0119, 
83.00, 0.0100, 
84.00, 0.0099, 
85.00, 0.0088, 
86.00, 0.0086, 
87.00, 0.0074, 
88.00, 0.0076, 
89.00, 0.0076, 
90.00, 0.0069, 
91.00, 0.0058, 
92.00, 0.0054, 
93.00, 0.0043, 
94.00, 0.0036, 
95.00, 0.0034, 
96.00, 0.0026, 
97.00, 0.0026, 
98.00, 0.0018, 
99.00, 0.0014, 
100.00, 0.0004, 
101.00, -0.0007, 
102.00, -0.0007, 
103.00, -0.0018, 
104.00, -0.0020, 
105.00, -0.0021, 
106.00, -0.0027, 
107.00, -0.0030, 
108.00, -0.0041, 
109.00, -0.0044, 
110.00, -0.0051, 
111.00, -0.0056, 
112.00, -0.0065, 
113.00, -0.0073, 
114.00, -0.0074, 
115.00, -0.0078, 
116.00, -0.0087, 
117.00, -0.0083, 
118.00, -0.0096, 
119.00, -0.0102, 
120.00, -0.0109, 
121.00, -0.0105, 
122.00, -0.0114, 
123.00, -0.0117, 
124.00, -0.0120, 
125.00, -0.0134, 
126.00, -0.0129, 
127.00, -0.0134, 
128.00, -0.0140, 
129.00, -0.0148, 
130.00, -0.0151, 
131.00, -0.0155, 
132.00, -0.0153, 
133.00, -0.0165, 
134.00, -0.0168, 
135.00, -0.0173, 
136.00, -0.0175, 
137.00, -0.0177, 
138.00, -0.0180, 
139.00, -0.0180, 
140.00, -0.0186, 
141.00, -0.0189, 
142.00, -0.0197, 
143.00, -0.0200, 
144.00, -0.0197, 
145.00, -0.0201, 
146.00, -0.0206, 
147.00, -0.0212, 
148.00, -0.0205, 
149.00, -0.0220, 
150.00, -0.0218, 
151.00, -0.0227, 
152.00, -0.0225, 
153.00, -0.0231, 
154.00, -0.0218, 
155.00, -0.0228 
