Created as New Dataset, , 
s, A, 
0.00, 0.0725, 
1.00, 0.0723, 
2.00, 0.0716, 
3.00, 0.0715, 
4.00, 0.0714, 
5.00, 0.0701, 
6.00, 0.0688, 
7.00, 0.0685, 
8.00, 0.0677, 
9.00, 0.0682, 
10.00, 0.0673, 
11.00, 0.0663, 
12.00, 0.0658, 
13.00, 0.0653, 
14.00, 0.0651, 
15.00, 0.0647, 
16.00, 0.0643, 
17.00, 0.0644, 
18.00, 0.0649, 
19.00, 0.0642, 
20.00, 0.0638, 
21.00, 0.0629, 
22.00, 0.0634, 
23.00, 0.0636, 
24.00, 0.0621, 
25.00, 0.0625, 
26.00, 0.0637, 
27.00, 0.0617, 
28.00, 0.0626, 
29.00, 0.0622, 
30.00, 0.0614, 
31.00, 0.0617, 
32.00, 0.0615, 
33.00, 0.0618, 
34.00, 0.0617, 
35.00, 0.0620, 
36.00, 0.0611, 
37.00, 0.0617, 
38.00, 0.0615, 
39.00, 0.0611, 
40.00, 0.0616, 
41.00, 0.0607, 
42.00, 0.0619, 
43.00, 0.0610, 
44.00, 0.0612, 
45.00, 0.0600, 
46.00, 0.0607, 
47.00, 0.0607, 
48.00, 0.0609, 
49.00, 0.0605, 
50.00, 0.0608, 
51.00, 0.0607, 
52.00, 0.0607, 
53.00, 0.0607, 
54.00, 0.0603, 
55.00, 0.0601, 
56.00, 0.0608, 
57.00, 0.0607, 
58.00, 0.0610, 
59.00, 0.0602, 
60.00, 0.0601, 
61.00, 0.0604, 
62.00, 0.0602, 
63.00, 0.0601, 
64.00, 0.0604, 
65.00, 0.0594, 
66.00, 0.0606, 
67.00, 0.0607, 
68.00, 0.0604, 
69.00, 0.0596, 
70.00, 0.0603, 
71.00, 0.0602, 
72.00, 0.0595, 
73.00, 0.0599, 
74.00, 0.0593, 
75.00, 0.0605, 
76.00, 0.0595, 
77.00, 0.0602, 
78.00, 0.0597, 
79.00, 0.0596, 
80.00, 0.0607, 
81.00, 0.0594, 
82.00, 0.0590, 
83.00, 0.0602, 
84.00, 0.0599, 
85.00, 0.0605, 
86.00, 0.0591, 
87.00, 0.0600, 
88.00, 0.0594, 
89.00, 0.0595, 
90.00, 0.0588, 
91.00, 0.0594, 
92.00, 0.0601, 
93.00, 0.0594, 
94.00, 0.0593, 
95.00, 0.0598, 
96.00, 0.0583, 
97.00, 0.0599, 
98.00, 0.0592, 
99.00, 0.0596, 
100.00, 0.0592, 
101.00, 0.0597, 
102.00, 0.0591, 
103.00, 0.0588, 
104.00, 0.0593, 
105.00, 0.0591, 
106.00, 0.0591, 
107.00, 0.0597, 
108.00, 0.0584, 
109.00, 0.0592, 
110.00, 0.0589, 
111.00, 0.0586, 
112.00, 0.0588, 
113.00, 0.0589, 
114.00, 0.0600, 
115.00, 0.0598, 
116.00, 0.0585, 
117.00, 0.0593, 
118.00, 0.0596, 
119.00, 0.0601, 
120.00, 0.0593, 
121.00, 0.0593, 
122.00, 0.0595, 
123.00, 0.0592, 
124.00, 0.0595, 
125.00, 0.0591, 
126.00, 0.0591, 
127.00, 0.0589, 
128.00, 0.0584, 
129.00, 0.0581, 
130.00, 0.0586, 
131.00, 0.0591, 
132.00, 0.0589, 
133.00, 0.0593, 
134.00, 0.0588, 
135.00, 0.0591, 
136.00, 0.0593, 
137.00, 0.0591 
