Created as New Dataset, Dark, 
s, A, 
0.00, 0.0882, 
1.00, 0.0833, 
2.00, 0.0808, 
3.00, 0.0789, 
4.00, 0.0771, 
5.00, 0.0755, 
6.00, 0.0751, 
7.00, 0.0756, 
8.00, 0.0753, 
9.00, 0.0742, 
10.00, 0.0740, 
11.00, 0.0736, 
12.00, 0.0727, 
13.00, 0.0724, 
14.00, 0.0720, 
15.00, 0.0715, 
16.00, 0.0718, 
17.00, 0.0709, 
18.00, 0.0709, 
19.00, 0.0702, 
20.00, 0.0707, 
21.00, 0.0697, 
22.00, 0.0702, 
23.00, 0.0699, 
24.00, 0.0695, 
25.00, 0.0695, 
26.00, 0.0700, 
27.00, 0.0699, 
28.00, 0.0689, 
29.00, 0.0686, 
30.00, 0.0691, 
31.00, 0.0690, 
32.00, 0.0689, 
33.00, 0.0694, 
34.00, 0.0691, 
35.00, 0.0684, 
36.00, 0.0690, 
37.00, 0.0684, 
38.00, 0.0692, 
39.00, 0.0686, 
40.00, 0.0678, 
41.00, 0.0687, 
42.00, 0.0683, 
43.00, 0.0684, 
44.00, 0.0684, 
45.00, 0.0684, 
46.00, 0.0691, 
47.00, 0.0684, 
48.00, 0.0678, 
49.00, 0.0677, 
50.00, 0.0683, 
51.00, 0.0683, 
52.00, 0.0679, 
53.00, 0.0682, 
54.00, 0.0681, 
55.00, 0.0673, 
56.00, 0.0684, 
57.00, 0.0685, 
58.00, 0.0682, 
59.00, 0.0680, 
60.00, 0.0675, 
61.00, 0.0683, 
62.00, 0.0678, 
63.00, 0.0684, 
64.00, 0.0681, 
65.00, 0.0681, 
66.00, 0.0677, 
67.00, 0.0684, 
68.00, 0.0681, 
69.00, 0.0680, 
70.00, 0.0680, 
71.00, 0.0675, 
72.00, 0.0682, 
73.00, 0.0685, 
74.00, 0.0682, 
75.00, 0.0678, 
76.00, 0.0676, 
77.00, 0.0695, 
78.00, 0.0672, 
79.00, 0.0681, 
80.00, 0.0680, 
81.00, 0.0686, 
82.00, 0.0674, 
83.00, 0.0677, 
84.00, 0.0681, 
85.00, 0.0683, 
86.00, 0.0674, 
87.00, 0.0673, 
88.00, 0.0676, 
89.00, 0.0675, 
90.00, 0.0684, 
91.00, 0.0680, 
92.00, 0.0672, 
93.00, 0.0681, 
94.00, 0.0682, 
95.00, 0.0679, 
96.00, 0.0678, 
97.00, 0.0672, 
98.00, 0.0680, 
99.00, 0.0677, 
100.00, 0.0670, 
101.00, 0.0675, 
102.00, 0.0679, 
103.00, 0.0666, 
104.00, 0.0677, 
105.00, 0.0674, 
106.00, 0.0684, 
107.00, 0.0674, 
108.00, 0.0676, 
109.00, 0.0674, 
110.00, 0.0672, 
111.00, 0.0673, 
112.00, 0.0674, 
113.00, 0.0676, 
114.00, 0.0673, 
115.00, 0.0673, 
116.00, 0.0675, 
117.00, 0.0671, 
118.00, 0.0674, 
119.00, 0.0681, 
120.00, 0.0675, 
121.00, 0.0679, 
122.00, 0.0667, 
123.00, 0.0679, 
124.00, 0.0680, 
125.00, 0.0672, 
126.00, 0.0671, 
127.00, 0.0682, 
128.00, 0.0674, 
129.00, 0.0671, 
130.00, 0.0669, 
131.00, 0.0671, 
132.00, 0.0675, 
133.00, 0.0666, 
134.00, 0.0675, 
135.00, 0.0675, 
136.00, 0.0672, 
137.00, 0.0679, 
138.00, 0.0679, 
139.00, 0.0673, 
140.00, 0.0678, 
141.00, 0.0673 
