Created as New Dataset, , 
s, A, 
0.00, 0.0793, 
1.00, 0.0782, 
2.00, 0.0745, 
3.00, 0.0740, 
4.00, 0.0710, 
5.00, 0.0700, 
6.00, 0.0686, 
7.00, 0.0676, 
8.00, 0.0669, 
9.00, 0.0655, 
10.00, 0.0649, 
11.00, 0.0633, 
12.00, 0.0629, 
13.00, 0.0613, 
14.00, 0.0611, 
15.00, 0.0597, 
16.00, 0.0589, 
17.00, 0.0570, 
18.00, 0.0571, 
19.00, 0.0556, 
20.00, 0.0557, 
21.00, 0.0544, 
22.00, 0.0540, 
23.00, 0.0537, 
24.00, 0.0519, 
25.00, 0.0515, 
26.00, 0.0503, 
27.00, 0.0500, 
28.00, 0.0484, 
29.00, 0.0485, 
30.00, 0.0485, 
31.00, 0.0471, 
32.00, 0.0468, 
33.00, 0.0454, 
34.00, 0.0440, 
35.00, 0.0443, 
36.00, 0.0433, 
37.00, 0.0435, 
38.00, 0.0427, 
39.00, 0.0423, 
40.00, 0.0406, 
41.00, 0.0397, 
42.00, 0.0394, 
43.00, 0.0391, 
44.00, 0.0390, 
45.00, 0.0363, 
46.00, 0.0374, 
47.00, 0.0369, 
48.00, 0.0355, 
49.00, 0.0352, 
50.00, 0.0336, 
51.00, 0.0338, 
52.00, 0.0330, 
53.00, 0.0328, 
54.00, 0.0313, 
55.00, 0.0313, 
56.00, 0.0305, 
57.00, 0.0300, 
58.00, 0.0292, 
59.00, 0.0287, 
60.00, 0.0279, 
61.00, 0.0276, 
62.00, 0.0277, 
63.00, 0.0263, 
64.00, 0.0260, 
65.00, 0.0261, 
66.00, 0.0250, 
67.00, 0.0245, 
68.00, 0.0246, 
69.00, 0.0232, 
70.00, 0.0235, 
71.00, 0.0220, 
72.00, 0.0220, 
73.00, 0.0211, 
74.00, 0.0205, 
75.00, 0.0202, 
76.00, 0.0199, 
77.00, 0.0195, 
78.00, 0.0190, 
79.00, 0.0189, 
80.00, 0.0181, 
81.00, 0.0173, 
82.00, 0.0170, 
83.00, 0.0167, 
84.00, 0.0150, 
85.00, 0.0151, 
86.00, 0.0153, 
87.00, 0.0145, 
88.00, 0.0134, 
89.00, 0.0144, 
90.00, 0.0141, 
91.00, 0.0123, 
92.00, 0.0125, 
93.00, 0.0124, 
94.00, 0.0107, 
95.00, 0.0110, 
96.00, 0.0099, 
97.00, 0.0095, 
98.00, 0.0096, 
99.00, 0.0089, 
100.00, 0.0084, 
101.00, 0.0084, 
102.00, 0.0072, 
103.00, 0.0074, 
104.00, 0.0076, 
105.00, 0.0065, 
106.00, 0.0069, 
107.00, 0.0066, 
108.00, 0.0051, 
109.00, 0.0052, 
110.00, 0.0038, 
111.00, 0.0047, 
112.00, 0.0039, 
113.00, 0.0041, 
114.00, 0.0030, 
115.00, 0.0026, 
116.00, 0.0025, 
117.00, 0.0017, 
118.00, 0.0008, 
119.00, 0.0015, 
120.00, 0.0014, 
121.00, 0.0016, 
122.00, 0.0011, 
123.00, -0.0008, 
124.00, 0.0000, 
125.00, -0.0006, 
126.00, -0.0003, 
127.00, -0.0012, 
128.00, -0.0016, 
129.00, -0.0017, 
130.00, -0.0031, 
131.00, -0.0026, 
132.00, -0.0030, 
133.00, -0.0035, 
134.00, -0.0034, 
135.00, -0.0035, 
136.00, -0.0040, 
137.00, -0.0043, 
138.00, -0.0037, 
139.00, -0.0050, 
140.00, -0.0059, 
141.00, -0.0057, 
142.00, -0.0051, 
143.00, -0.0062, 
144.00, -0.0071, 
145.00, -0.0066, 
146.00, -0.0068, 
147.00, -0.0075, 
148.00, -0.0072, 
149.00, -0.0077, 
150.00, -0.0090, 
151.00, -0.0085, 
152.00, -0.0092, 
153.00, -0.0089, 
154.00, -0.0087, 
155.00, -0.0089, 
156.00, -0.0103, 
157.00, -0.0100, 
158.00, -0.0104, 
159.00, -0.0098, 
160.00, -0.0104, 
161.00, -0.0105, 
162.00, -0.0117, 
163.00, -0.0123, 
164.00, -0.0118 
