Created as New Dataset, , 
s, A, 
0.00, 0.0804, 
1.00, 0.0789, 
2.00, 0.0768, 
3.00, 0.0736, 
4.00, 0.0726, 
5.00, 0.0708, 
6.00, 0.0696, 
7.00, 0.0680, 
8.00, 0.0676, 
9.00, 0.0659, 
10.00, 0.0652, 
11.00, 0.0640, 
12.00, 0.0633, 
13.00, 0.0609, 
14.00, 0.0619, 
15.00, 0.0609, 
16.00, 0.0590, 
17.00, 0.0587, 
18.00, 0.0573, 
19.00, 0.0571, 
20.00, 0.0563, 
21.00, 0.0560, 
22.00, 0.0543, 
23.00, 0.0532, 
24.00, 0.0535, 
25.00, 0.0517, 
26.00, 0.0518, 
27.00, 0.0510, 
28.00, 0.0496, 
29.00, 0.0491, 
30.00, 0.0480, 
31.00, 0.0476, 
32.00, 0.0466, 
33.00, 0.0452, 
34.00, 0.0455, 
35.00, 0.0434, 
36.00, 0.0440, 
37.00, 0.0436, 
38.00, 0.0421, 
39.00, 0.0411, 
40.00, 0.0403, 
41.00, 0.0396, 
42.00, 0.0392, 
43.00, 0.0379, 
44.00, 0.0371, 
45.00, 0.0359, 
46.00, 0.0359, 
47.00, 0.0346, 
48.00, 0.0335, 
49.00, 0.0338, 
50.00, 0.0327, 
51.00, 0.0315, 
52.00, 0.0305, 
53.00, 0.0300, 
54.00, 0.0300, 
55.00, 0.0284, 
56.00, 0.0280, 
57.00, 0.0276, 
58.00, 0.0264, 
59.00, 0.0258, 
60.00, 0.0252, 
61.00, 0.0257, 
62.00, 0.0232, 
63.00, 0.0233, 
64.00, 0.0221, 
65.00, 0.0221, 
66.00, 0.0210, 
67.00, 0.0208, 
68.00, 0.0196, 
69.00, 0.0189, 
70.00, 0.0180, 
71.00, 0.0177, 
72.00, 0.0164, 
73.00, 0.0153, 
74.00, 0.0154, 
75.00, 0.0137, 
76.00, 0.0140, 
77.00, 0.0137, 
78.00, 0.0126, 
79.00, 0.0117, 
80.00, 0.0103, 
81.00, 0.0101, 
82.00, 0.0097, 
83.00, 0.0097, 
84.00, 0.0092, 
85.00, 0.0080, 
86.00, 0.0071, 
87.00, 0.0056, 
88.00, 0.0049, 
89.00, 0.0046, 
90.00, 0.0049, 
91.00, 0.0038, 
92.00, 0.0033, 
93.00, 0.0022, 
94.00, 0.0026, 
95.00, 0.0011, 
96.00, 0.0009, 
97.00, 0.0005, 
98.00, -0.0015, 
99.00, -0.0017, 
100.00, -0.0018, 
101.00, -0.0031, 
102.00, -0.0024, 
103.00, -0.0035, 
104.00, -0.0046, 
105.00, -0.0048, 
106.00, -0.0050, 
107.00, -0.0060, 
108.00, -0.0070, 
109.00, -0.0071, 
110.00, -0.0074, 
111.00, -0.0089, 
112.00, -0.0095, 
113.00, -0.0097, 
114.00, -0.0092, 
115.00, -0.0104, 
116.00, -0.0109, 
117.00, -0.0105, 
118.00, -0.0113, 
119.00, -0.0126, 
120.00, -0.0123, 
121.00, -0.0129, 
122.00, -0.0146, 
123.00, -0.0136, 
124.00, -0.0147, 
125.00, -0.0151, 
126.00, -0.0155, 
127.00, -0.0157, 
128.00, -0.0162, 
129.00, -0.0159, 
130.00, -0.0164, 
131.00, -0.0173, 
132.00, -0.0178, 
133.00, -0.0182, 
134.00, -0.0182, 
135.00, -0.0194, 
136.00, -0.0190, 
137.00, -0.0196, 
138.00, -0.0188, 
139.00, -0.0206, 
140.00, -0.0199, 
141.00, -0.0195, 
142.00, -0.0212, 
143.00, -0.0211, 
144.00, -0.0220, 
145.00, -0.0212, 
146.00, -0.0218, 
147.00, -0.0226, 
148.00, -0.0224, 
149.00, -0.0230, 
150.00, -0.0234, 
151.00, -0.0230, 
152.00, -0.0232, 
153.00, -0.0237, 
154.00, -0.0238, 
155.00, -0.0235, 
156.00, -0.0241, 
157.00, -0.0245, 
158.00, -0.0240, 
159.00, -0.0241 
