Created as New Dataset, , 
s, A, 
0.00, 0.0831, 
1.00, 0.0805, 
2.00, 0.0767, 
3.00, 0.0744, 
4.00, 0.0720, 
5.00, 0.0719, 
6.00, 0.0705, 
7.00, 0.0688, 
8.00, 0.0671, 
9.00, 0.0663, 
10.00, 0.0651, 
11.00, 0.0648, 
12.00, 0.0643, 
13.00, 0.0619, 
14.00, 0.0613, 
15.00, 0.0606, 
16.00, 0.0603, 
17.00, 0.0590, 
18.00, 0.0575, 
19.00, 0.0565, 
20.00, 0.0559, 
21.00, 0.0554, 
22.00, 0.0542, 
23.00, 0.0542, 
24.00, 0.0530, 
25.00, 0.0518, 
26.00, 0.0510, 
27.00, 0.0512, 
28.00, 0.0490, 
29.00, 0.0485, 
30.00, 0.0479, 
31.00, 0.0468, 
32.00, 0.0457, 
33.00, 0.0453, 
34.00, 0.0442, 
35.00, 0.0443, 
36.00, 0.0430, 
37.00, 0.0421, 
38.00, 0.0405, 
39.00, 0.0396, 
40.00, 0.0394, 
41.00, 0.0390, 
42.00, 0.0381, 
43.00, 0.0373, 
44.00, 0.0364, 
45.00, 0.0364, 
46.00, 0.0353, 
47.00, 0.0340, 
48.00, 0.0331, 
49.00, 0.0321, 
50.00, 0.0318, 
51.00, 0.0306, 
52.00, 0.0304, 
53.00, 0.0295, 
54.00, 0.0295, 
55.00, 0.0280, 
56.00, 0.0268, 
57.00, 0.0263, 
58.00, 0.0254, 
59.00, 0.0246, 
60.00, 0.0237, 
61.00, 0.0237, 
62.00, 0.0233, 
63.00, 0.0211, 
64.00, 0.0215, 
65.00, 0.0205, 
66.00, 0.0201, 
67.00, 0.0188, 
68.00, 0.0180, 
69.00, 0.0176, 
70.00, 0.0165, 
71.00, 0.0164, 
72.00, 0.0160, 
73.00, 0.0145, 
74.00, 0.0148, 
75.00, 0.0133, 
76.00, 0.0120, 
77.00, 0.0115, 
78.00, 0.0114, 
79.00, 0.0112, 
80.00, 0.0115, 
81.00, 0.0092, 
82.00, 0.0086, 
83.00, 0.0089, 
84.00, 0.0068, 
85.00, 0.0067, 
86.00, 0.0057, 
87.00, 0.0054, 
88.00, 0.0058, 
89.00, 0.0038, 
90.00, 0.0035, 
91.00, 0.0022, 
92.00, 0.0025, 
93.00, 0.0020, 
94.00, 0.0011, 
95.00, 0.0008, 
96.00, -0.0002, 
97.00, -0.0001, 
98.00, -0.0007, 
99.00, -0.0027, 
100.00, -0.0027, 
101.00, -0.0027, 
102.00, -0.0035, 
103.00, -0.0056, 
104.00, -0.0052, 
105.00, -0.0050, 
106.00, -0.0068, 
107.00, -0.0059, 
108.00, -0.0071, 
109.00, -0.0079, 
110.00, -0.0075, 
111.00, -0.0085, 
112.00, -0.0099, 
113.00, -0.0098, 
114.00, -0.0096, 
115.00, -0.0100, 
116.00, -0.0116, 
117.00, -0.0118, 
118.00, -0.0112, 
119.00, -0.0133, 
120.00, -0.0130, 
121.00, -0.0137, 
122.00, -0.0150, 
123.00, -0.0145, 
124.00, -0.0150, 
125.00, -0.0159, 
126.00, -0.0162, 
127.00, -0.0158, 
128.00, -0.0176, 
129.00, -0.0171, 
130.00, -0.0177, 
131.00, -0.0177, 
132.00, -0.0184, 
133.00, -0.0180, 
134.00, -0.0190, 
135.00, -0.0201, 
136.00, -0.0193, 
137.00, -0.0204, 
138.00, -0.0200, 
139.00, -0.0207, 
140.00, -0.0211, 
141.00, -0.0213, 
142.00, -0.0211, 
143.00, -0.0213, 
144.00, -0.0230, 
145.00, -0.0222, 
146.00, -0.0229 
