Created as New Dataset, , 
s, A, 
0.00, 0.0881, 
1.00, 0.0798, 
2.00, 0.0757, 
3.00, 0.0734, 
4.00, 0.0725, 
5.00, 0.0707, 
6.00, 0.0694, 
7.00, 0.0687, 
8.00, 0.0677, 
9.00, 0.0672, 
10.00, 0.0654, 
11.00, 0.0649, 
12.00, 0.0631, 
13.00, 0.0623, 
14.00, 0.0622, 
15.00, 0.0607, 
16.00, 0.0611, 
17.00, 0.0597, 
18.00, 0.0593, 
19.00, 0.0593, 
20.00, 0.0575, 
21.00, 0.0572, 
22.00, 0.0566, 
23.00, 0.0545, 
24.00, 0.0544, 
25.00, 0.0539, 
26.00, 0.0543, 
27.00, 0.0529, 
28.00, 0.0515, 
29.00, 0.0501, 
30.00, 0.0497, 
31.00, 0.0497, 
32.00, 0.0483, 
33.00, 0.0477, 
34.00, 0.0472, 
35.00, 0.0461, 
36.00, 0.0458, 
37.00, 0.0445, 
38.00, 0.0450, 
39.00, 0.0435, 
40.00, 0.0435, 
41.00, 0.0418, 
42.00, 0.0424, 
43.00, 0.0408, 
44.00, 0.0406, 
45.00, 0.0389, 
46.00, 0.0381, 
47.00, 0.0379, 
48.00, 0.0374, 
49.00, 0.0361, 
50.00, 0.0357, 
51.00, 0.0356, 
52.00, 0.0346, 
53.00, 0.0342, 
54.00, 0.0334, 
55.00, 0.0331, 
56.00, 0.0317, 
57.00, 0.0312, 
58.00, 0.0307, 
59.00, 0.0298, 
60.00, 0.0287, 
61.00, 0.0289, 
62.00, 0.0288, 
63.00, 0.0273, 
64.00, 0.0260, 
65.00, 0.0261, 
66.00, 0.0251, 
67.00, 0.0249, 
68.00, 0.0235, 
69.00, 0.0231, 
70.00, 0.0229, 
71.00, 0.0217, 
72.00, 0.0212, 
73.00, 0.0201, 
74.00, 0.0196, 
75.00, 0.0196, 
76.00, 0.0186, 
77.00, 0.0183, 
78.00, 0.0176, 
79.00, 0.0163, 
80.00, 0.0156, 
81.00, 0.0156, 
82.00, 0.0155, 
