Created as New Dataset, , 
s, A, 
83.00, 0.0141, 
84.00, 0.0133, 
85.00, 0.0135, 
86.00, 0.0125, 
87.00, 0.0120, 
88.00, 0.0105, 
89.00, 0.0105, 
90.00, 0.0099, 
91.00, 0.0088, 
92.00, 0.0090, 
93.00, 0.0082, 
94.00, 0.0081, 
95.00, 0.0073, 
96.00, 0.0059, 
97.00, 0.0054, 
98.00, 0.0052, 
99.00, 0.0055, 
100.00, 0.0044, 
101.00, 0.0029, 
102.00, 0.0026, 
103.00, 0.0023, 
104.00, 0.0019, 
105.00, 0.0010, 
106.00, 0.0010, 
107.00, -0.0004, 
108.00, -0.0007, 
109.00, -0.0011, 
110.00, -0.0010, 
111.00, -0.0015, 
112.00, -0.0017, 
113.00, -0.0031, 
114.00, -0.0037, 
115.00, -0.0035, 
116.00, -0.0041, 
117.00, -0.0048, 
118.00, -0.0057, 
119.00, -0.0063, 
120.00, -0.0062, 
121.00, -0.0069, 
122.00, -0.0069, 
123.00, -0.0081, 
124.00, -0.0087, 
125.00, -0.0102, 
126.00, -0.0095, 
127.00, -0.0098, 
128.00, -0.0109, 
129.00, -0.0108, 
130.00, -0.0113, 
131.00, -0.0119, 
132.00, -0.0121, 
133.00, -0.0125, 
134.00, -0.0139, 
135.00, -0.0136, 
136.00, -0.0137, 
137.00, -0.0141, 
138.00, -0.0145, 
139.00, -0.0150, 
140.00, -0.0148, 
141.00, -0.0154, 
142.00, -0.0163, 
143.00, -0.0161, 
144.00, -0.0165, 
145.00, -0.0167, 
146.00, -0.0172, 
147.00, -0.0187, 
148.00, -0.0179, 
149.00, -0.0186, 
150.00, -0.0187, 
151.00, -0.0183, 
152.00, -0.0191, 
153.00, -0.0194, 
154.00, -0.0201, 
155.00, -0.0201, 
156.00, -0.0203, 
157.00, -0.0204, 
158.00, -0.0216, 
159.00, -0.0213, 
160.00, -0.0218, 
161.00, -0.0214, 
162.00, -0.0214, 
163.00, -0.0224, 
164.00, -0.0218, 
165.00, -0.0228, 
166.00, -0.0231, 
167.00, -0.0229, 
168.00, -0.0230, 
169.00, -0.0236, 
170.00, -0.0232, 
171.00, -0.0242, 
172.00, -0.0235, 
173.00, -0.0238, 
174.00, -0.0236, 
175.00, -0.0243, 
176.00, -0.0245, 
177.00, -0.0246, 
178.00, -0.0247, 
179.00, -0.0241, 
180.00, -0.0255, 
181.00, -0.0241, 
182.00, -0.0252, 
183.00, -0.0257, 
184.00, -0.0254, 
185.00, -0.0250, 
186.00, -0.0260, 
187.00, -0.0255, 
188.00, -0.0258, 
189.00, -0.0248, 
190.00, -0.0257, 
191.00, -0.0249, 
192.00, -0.0258, 
193.00, -0.0264, 
194.00, -0.0257, 
195.00, -0.0264, 
196.00, -0.0254, 
197.00, -0.0260, 
198.00, -0.0261, 
199.00, -0.0262, 
200.00, -0.0257, 
201.00, -0.0260, 
202.00, -0.0266, 
203.00, -0.0266, 
204.00, -0.0260, 
205.00, -0.0255, 
206.00, -0.0258, 
207.00, -0.0270, 
208.00, -0.0256, 
209.00, -0.0259, 
210.00, -0.0255, 
211.00, -0.0267, 
212.00, -0.0267, 
213.00, -0.0259, 
214.00, -0.0266, 
215.00, -0.0266, 
216.00, -0.0263, 
217.00, -0.0270, 
218.00, -0.0273, 
219.00, -0.0270, 
220.00, -0.0264, 
221.00, -0.0265, 
222.00, -0.0273, 
223.00, -0.0263, 
224.00, -0.0268, 
225.00, -0.0260, 
226.00, -0.0266, 
227.00, -0.0259, 
228.00, -0.0264, 
229.00, -0.0264, 
230.00, -0.0269, 
231.00, -0.0265, 
232.00, -0.0261, 
233.00, -0.0267, 
234.00, -0.0273, 
235.00, -0.0273, 
236.00, -0.0273, 
237.00, -0.0262, 
238.00, -0.0266, 
239.00, -0.0269, 
240.00, -0.0268, 
241.00, -0.0261, 
242.00, -0.0269, 
243.00, -0.0272, 
244.00, -0.0265, 
245.00, -0.0260, 
246.00, -0.0273, 
247.00, -0.0267 
