Created as New Dataset, Dark, 
s, A, 
0.00, -0.0011, 
1.00, -0.0015, 
2.00, -0.0001, 
3.00, 0.0003, 
4.00, -0.0001, 
5.00, -0.0010, 
6.00, -0.0016, 
7.00, -0.0019, 
8.00, -0.0020, 
9.00, -0.0019, 
10.00, -0.0008, 
11.00, -0.0017, 
12.00, -0.0020, 
13.00, -0.0035, 
14.00, -0.0028, 
15.00, -0.0026, 
16.00, -0.0024, 
17.00, -0.0028, 
18.00, -0.0025, 
19.00, -0.0024, 
20.00, -0.0019, 
21.00, -0.0023, 
22.00, -0.0028, 
23.00, -0.0028, 
24.00, -0.0019, 
25.00, -0.0023, 
26.00, -0.0019, 
27.00, -0.0023, 
28.00, -0.0031, 
29.00, -0.0018, 
30.00, -0.0024, 
31.00, -0.0023, 
32.00, -0.0020, 
33.00, -0.0025, 
34.00, -0.0020, 
35.00, -0.0025, 
36.00, -0.0020, 
37.00, -0.0022, 
38.00, -0.0025, 
39.00, -0.0023, 
40.00, -0.0027, 
41.00, -0.0024, 
42.00, -0.0033, 
43.00, -0.0027, 
44.00, -0.0030, 
45.00, -0.0027, 
46.00, -0.0029, 
47.00, -0.0027, 
48.00, -0.0021, 
49.00, -0.0026, 
50.00, -0.0030, 
51.00, -0.0026, 
52.00, -0.0031, 
53.00, -0.0031, 
54.00, -0.0025, 
55.00, -0.0029, 
56.00, -0.0031, 
57.00, -0.0018, 
58.00, -0.0032, 
59.00, -0.0035, 
60.00, -0.0018, 
61.00, -0.0023, 
62.00, -0.0026, 
63.00, -0.0025, 
64.00, -0.0027, 
65.00, -0.0030, 
66.00, -0.0021, 
67.00, -0.0030, 
68.00, -0.0017, 
69.00, -0.0024, 
70.00, -0.0033, 
71.00, -0.0021, 
72.00, -0.0028, 
73.00, -0.0019, 
74.00, -0.0030, 
75.00, -0.0022, 
76.00, -0.0028, 
77.00, -0.0028, 
78.00, -0.0021, 
79.00, -0.0031, 
80.00, -0.0033, 
81.00, -0.0023, 
82.00, -0.0028, 
83.00, -0.0025, 
84.00, -0.0026, 
85.00, -0.0027, 
86.00, -0.0025, 
87.00, -0.0028, 
88.00, -0.0026, 
89.00, -0.0021, 
90.00, -0.0021, 
91.00, -0.0028, 
92.00, -0.0028, 
93.00, -0.0027, 
94.00, -0.0015, 
95.00, -0.0028, 
96.00, -0.0027, 
97.00, -0.0017, 
98.00, -0.0023, 
99.00, -0.0025, 
100.00, -0.0032, 
101.00, -0.0028, 
102.00, -0.0032, 
103.00, -0.0020, 
104.00, -0.0034, 
105.00, -0.0021, 
106.00, -0.0022, 
107.00, -0.0027, 
108.00, -0.0020, 
109.00, -0.0019, 
110.00, -0.0029, 
111.00, -0.0023, 
112.00, -0.0022, 
113.00, -0.0032, 
114.00, -0.0020, 
115.00, -0.0026, 
116.00, -0.0025, 
117.00, -0.0029, 
118.00, -0.0029, 
119.00, -0.0023, 
120.00, -0.0036, 
121.00, -0.0029, 
122.00, -0.0032 
