Created as New Dataset, , 
s, A, 
0.00, 0.1095, 
1.00, 0.0994, 
2.00, 0.0890, 
3.00, 0.0827, 
4.00, 0.0784, 
5.00, 0.0777, 
6.00, 0.0740, 
7.00, 0.0727, 
8.00, 0.0713, 
9.00, 0.0696, 
10.00, 0.0676, 
11.00, 0.0674, 
12.00, 0.0653, 
13.00, 0.0650, 
14.00, 0.0628, 
15.00, 0.0631, 
16.00, 0.0627, 
17.00, 0.0600, 
18.00, 0.0588, 
19.00, 0.0593, 
20.00, 0.0585, 
21.00, 0.0575, 
22.00, 0.0554, 
23.00, 0.0547, 
24.00, 0.0546, 
25.00, 0.0529, 
26.00, 0.0523, 
27.00, 0.0518, 
28.00, 0.0503, 
29.00, 0.0495, 
30.00, 0.0496, 
31.00, 0.0487, 
32.00, 0.0477, 
33.00, 0.0465, 
34.00, 0.0454, 
35.00, 0.0441, 
36.00, 0.0432, 
37.00, 0.0428, 
38.00, 0.0412, 
39.00, 0.0420, 
40.00, 0.0410, 
41.00, 0.0403, 
42.00, 0.0397, 
43.00, 0.0382, 
44.00, 0.0377, 
45.00, 0.0370, 
46.00, 0.0357, 
47.00, 0.0358, 
48.00, 0.0356, 
49.00, 0.0345, 
50.00, 0.0341, 
51.00, 0.0323, 
52.00, 0.0314, 
53.00, 0.0316, 
54.00, 0.0302, 
55.00, 0.0292, 
56.00, 0.0287, 
57.00, 0.0283, 
58.00, 0.0280, 
59.00, 0.0267, 
60.00, 0.0264, 
61.00, 0.0253, 
62.00, 0.0237, 
63.00, 0.0238, 
64.00, 0.0234, 
65.00, 0.0226, 
66.00, 0.0217, 
67.00, 0.0210, 
68.00, 0.0210, 
69.00, 0.0194, 
70.00, 0.0186, 
71.00, 0.0183, 
72.00, 0.0181, 
73.00, 0.0167, 
74.00, 0.0167, 
75.00, 0.0156, 
76.00, 0.0156, 
77.00, 0.0153, 
78.00, 0.0132, 
79.00, 0.0129, 
80.00, 0.0118, 
81.00, 0.0108, 
82.00, 0.0111, 
83.00, 0.0101, 
84.00, 0.0094, 
85.00, 0.0090, 
86.00, 0.0079, 
87.00, 0.0079, 
88.00, 0.0073, 
89.00, 0.0067, 
90.00, 0.0064, 
91.00, 0.0056, 
92.00, 0.0045, 
93.00, 0.0048, 
94.00, 0.0036, 
95.00, 0.0026, 
96.00, 0.0022, 
97.00, 0.0018, 
98.00, 0.0009, 
99.00, 0.0011, 
100.00, 0.0003, 
101.00, -0.0002, 
102.00, -0.0011, 
103.00, -0.0008, 
104.00, -0.0012, 
105.00, -0.0027, 
106.00, -0.0029, 
107.00, -0.0036, 
108.00, -0.0041, 
109.00, -0.0049, 
110.00, -0.0055, 
111.00, -0.0052, 
112.00, -0.0062, 
113.00, -0.0059, 
114.00, -0.0064, 
115.00, -0.0074, 
116.00, -0.0079, 
117.00, -0.0095, 
118.00, -0.0089, 
119.00, -0.0085, 
120.00, -0.0105, 
121.00, -0.0114, 
122.00, -0.0108, 
123.00, -0.0113, 
124.00, -0.0126, 
125.00, -0.0119, 
126.00, -0.0133, 
127.00, -0.0128, 
128.00, -0.0133, 
129.00, -0.0140, 
130.00, -0.0147, 
131.00, -0.0147, 
132.00, -0.0144, 
133.00, -0.0159, 
134.00, -0.0168, 
135.00, -0.0168, 
136.00, -0.0172, 
137.00, -0.0167, 
138.00, -0.0176, 
139.00, -0.0178, 
140.00, -0.0182, 
141.00, -0.0183, 
142.00, -0.0190, 
143.00, -0.0188, 
144.00, -0.0192, 
145.00, -0.0199, 
146.00, -0.0201, 
147.00, -0.0199, 
148.00, -0.0212, 
149.00, -0.0202, 
150.00, -0.0208, 
151.00, -0.0218, 
152.00, -0.0213, 
153.00, -0.0214, 
154.00, -0.0214, 
155.00, -0.0222, 
156.00, -0.0222, 
157.00, -0.0226, 
158.00, -0.0230, 
159.00, -0.0237, 
160.00, -0.0233, 
161.00, -0.0248, 
162.00, -0.0237, 
163.00, -0.0237, 
164.00, -0.0241, 
165.00, -0.0240, 
166.00, -0.0242, 
167.00, -0.0245 
